#,Name,SP,K,K/S,Kill %,Att,E,Hit %
4,S. Arun(Jr),74,156,2.1,25.3,616,87,0.112
5,J. Layno(Jr),71,5,0.1,6.8,74,12,-0.095
6,M. Sanford(Jr),74,83,1.1,31.9,260,32,0.196
7,C. Collier(Sr),69,90,1.3,23.3,386,67,0.06
8,T. Ulak(Jr),74,2,0,7.4,27,7,-0.185
9,A. Okonkwo(Sr),74,61,0.8,34.1,179,39,0.123
10,M. Donlon(Sr),74,140,1.9,28.6,489,84,0.115
11,T. Ellis(Jr),8,2,0.3,14.3,14,3,-0.071
12,R. Wilkins(Sr),64,6,0.1,13.3,45,6,0
13,C. Todd(Jr),9,2,0.2,28.6,7,1,0.143
14,H. Woods(Jr),64,128,2,28.9,443,58,0.158
